Place	Dist	Sch	Nod	TxPW	SucDec	DecTot	Lost	NumTrans	TotTrans	MeanRSSI
4	1	BNC	0	18	50	50	0	142	150	-78
4	1	BNC	0	18	50	50	0	139	150	-79
4	1	BNC	0	18	50	50	0	139	150	-79
4	1	BNC	0	18	50	50	0	144	150	-80
4	1	BNC	0	18	50	50	0	145	150	-79
4	1	BNC	0	18	50	50	0	141	150	-79
4	1	BNC	0	18	50	50	0	139	150	-78
4	1	BNC	0	18	50	50	0	149	150	-77
4	1	BNC	0	18	50	50	0	142	150	-78
4	1	BNC	0	18	50	50	0	147	150	-78
4	1	BNC	0	18	50	50	0	147	150	-78
4	1	BNC	0	18	50	50	0	137	150	-79
4	1	BNC	0	18	50	50	0	144	150	-79
4	1	BNC	0	18	50	50	0	142	150	-79
4	1	BNC	0	18	50	50	0	146	150	-79
4	1	BNC	0	18	50	50	0	147	150	-79
4	1	BNC	0	18	50	50	0	143	150	-79
4	1	BNC	0	18	50	50	0	142	150	-79
4	1	BNC	0	18	50	50	0	143	150	-79
4	1	BNC	0	18	50	50	0	144	150	-79
4	1	BNC	0	18	50	50	0	141	150	-79
4	1	BNC	0	18	50	50	0	145	150	-79
4	1	BNC	0	18	50	50	0	144	150	-79
4	1	BNC	0	18	50	50	0	146	150	-79
4	1	BNC	0	18	50	50	0	148	150	-79
4	1	BNC	0	18	49	50	1	141	150	-79
4	1	BNC	0	18	50	50	0	146	150	-79
4	1	BNC	0	18	50	50	0	148	150	-79
4	1	BNC	0	18	50	50	0	145	150	-79
4	1	BNC	0	18	50	50	0	140	150	-79
4	1	BNC	0	18	50	50	0	140	150	-79
4	1	BNC	0	18	50	50	0	146	150	-79
4	1	BNC	0	18	50	50	0	139	150	-79
4	1	BNC	0	18	50	50	0	145	150	-79
4	1	BNC	0	18	50	50	0	140	150	-79
4	1	BNC	0	18	50	50	0	136	150	-79
4	1	BNC	0	18	50	50	0	132	150	-79
4	1	BNC	0	18	50	50	0	136	150	-79
4	1	BNC	0	18	50	50	0	141	150	-79
4	1	BNC	0	18	50	50	0	142	150	-79
